lot,cd
L00,42.847508998381684
L00,43.58401783954992
L00,43.18719212047806
L00,43.134100531129455
L00,43.02480791104513
L00,43.37177987521057
L00,43.632364577931824
L00,43.47494676362333
L00,44.412662113671395
L00,43.21502201696173
L00,43.86954467921614
L00,43.62508565497332
L00,43.61946985202844
L00,42.73963623201351
L00,43.17157909166793
L00,43.68516055560992
L00,43.49554643843741
L00,43.42007690813599
L00,43.22970683831096
L00,43.406619554781464
L00,43.53030574491328
L00,43.21440886601695
L00,42.90488777142804
L00,43.4772614287491
L00,43.10644309790156
L00,44.04660789137103
L00,43.21933162971171
L00,43.63925547637603
L00,43.81956303151395
L00,43.79207155793684
L00,43.100949745495974
L00,44.111104802290384
L00,43.80180893395255
L00,43.368609323033176
L00,43.424943834983246
L00,43.73269431274197
L00,42.89933925732875
L00,43.21689331031322
L00,43.65802253793382
L00,43.02104569927626
L00,43.21342657400591
L00,43.43938473135283
L00,42.79873065617543
L00,42.911118304643196
L00,42.95484279329078
L00,43.76437715507735
L00,43.86003853911724
L00,43.58416056533822
L00,43.56061901019083
L00,42.73816927879517
L00,43.46615787784978
L00,43.81737783271704
L00,43.130708841546124
L00,43.267688810831245
L00,43.11689228169609
L00,43.589968919576634
L00,43.242556026046834
L00,44.217590010898526
L00,43.686152063805814
L00,43.35753095893347
L00,43.84013717770972
L00,43.28132681295939
L00,43.601255943791664
L00,43.83039854752609
L00,42.846387730858716
L00,44.1001155602367
L00,43.41365574948311
L00,43.77255805660139
L00,43.750190949989125
L00,42.918042384234816
L00,43.646094115813746
L00,43.009529847050786
L00,43.681297566713084
L00,44.07109143841271
L00,42.57910741737039
L00,43.86604900667989
L00,43.800968918292284
L00,43.64280369968731
L00,44.16469271226529
L00,43.38186621248907
L00,43.54805114509857
L00,43.494729519995445
L00,43.413116388641676
L00,43.37746837152582
L00,43.952504312132724
L00,43.296212334038366
L00,43.20691741891405
L00,43.29750122989837
L00,43.23140404794386
L00,43.63506975678442
L00,43.19820712014044
L00,43.23371900233665
L00,42.560138816014685
L00,43.40261747047493
L00,43.59008462901096
L00,43.50359590774433
L00,42.894803997573774
L00,42.924813015568546
L00,42.889234485724245
L00,43.443172662587784
L00,42.7217404615752
L00,43.011787472307326
L00,44.58790224452941
L00,43.47361420425334
L00,43.179616354533074
L00,43.338932239163086
L00,43.47321946200128
L00,44.04995667708543
L00,43.72805914793983
L00,43.45203927344624
L00,43.91406790783058
L00,43.355194798830006
L00,43.471820831825404
L00,43.32217794451237
L00,43.72451813275272
L00,43.44458895255862
L00,43.40534478967606
L00,43.82119066803766
L00,43.47066578947943
L00,43.50663419889947
L00,42.46117082593389
L00,43.29512734140758
L00,43.38828987156655
L00,44.02161066496342
L00,42.6653882957156
L00,43.71304152515965
L00,43.652782020831715
L00,43.39183068543224
L00,43.342481199660924
L00,43.475350110190874
L00,43.917639643232945
L00,43.94032829336443
L00,43.579009314474
L00,43.84554811069684
L00,43.9433447810949
L00,42.95770579063283
L00,43.64229992290731
L00,43.24481641221232
L00,43.53333922602873
L00,43.711757756345975
L00,43.14245542327057
L00,43.71295939461194
L00,43.6955710388796
L00,43.384942445028486
L00,43.43998142213216
L00,43.52333075584118
L00,43.860869393699495
L00,43.67030313378628
L00,43.523085260631156
L00,43.89663716668173
L01,48.52873870653216
L01,48.60937286995452
L01,48.607506547115754
L01,48.32238484552818
L01,47.822719216948826
L01,48.31894032757738
L01,48.58469225129714
L01,48.62175129138338
L01,48.777504566019154
L01,48.86619105293539
L01,48.64415432230178
L01,48.63888764862335
L01,48.75750370903263
L01,48.695986577701206
L01,48.912498503726624
L01,49.32687704511951
L01,47.79401354392957
L01,48.263928880551404
L01,48.686634388083036
L01,48.13862070149631
L01,48.78068386653656
L01,48.28006949255377
L01,48.57172529995627
L01,48.523344406165755
L01,48.482751318621304
L01,48.36295307643362
L01,48.37017297091345
L01,48.57847161887955
L01,48.94532901849433
L01,48.03855608836777
L01,48.772468172755225
L01,47.616630150708616
L01,47.54403537021277
L01,48.97788564348876
L01,48.2874060894669
L01,48.459912404306856
L01,48.44866985500758
L01,48.30150571174628
L01,48.213157762229926
L01,48.59896009646895
L01,48.18159674406887
L01,48.40498745263617
L01,48.428672080577606
L01,49.03410773279839
L01,47.98505446099611
L01,48.7543206439777
L01,48.186654591908244
L01,48.39427511592043
L01,49.29972951046922
L01,48.24030634656012
L01,48.88063103405565
L01,47.69042679200903
L01,48.053892800384894
L01,48.2585527246394
L01,48.62073721485047
L01,47.828540062133314
L01,48.71628648451286
L01,48.21292707391165
L01,48.12041466422821
L01,48.95004365793855
L01,48.732089080444396
L01,48.09225065247761
L01,48.40692369681032
L01,48.522643843109364
L01,48.67792785933019
L01,49.24459688329846
L01,47.83694093893834
L01,49.336824601699
L01,48.33535123137853
L01,48.464539653525584
L01,48.151882839427564
L01,48.501613780690704
L01,48.178341395965795
L01,48.41711732456757
L01,48.54181156572074
L01,48.5007669956853
L01,49.695301786001735
L01,49.00379214696578
L01,48.60106332794905
L01,48.52703757164615
L01,49.19062448746235
L01,48.908177018657355
L01,48.399677877487846
L01,48.43337652199033
L01,49.22360816898622
L01,49.04255614242206
L01,48.879727473684824
L01,48.62896099497283
L01,48.54510927678627
L01,48.00176564620983
L01,48.34435049391454
L01,48.47314377305933
L01,48.252354098532415
L01,47.854277698218716
L01,48.58994349379119
L01,48.5761988836506
L01,48.39579983504232
L01,48.55454371847055
L01,48.67784833110669
L01,48.47770392203466
L01,48.601913339717946
L01,48.544740714563
L01,48.806962133076446
L01,48.52269724647048
L01,48.954265141107
L01,48.43233701392643
L01,49.16209557075008
L01,48.21081088668685
L01,49.186423225891126
L01,48.680688012082015
L01,48.60311178046546
L01,48.43263548709135
L01,47.875076102768595
L01,48.822741543724455
L01,48.93761714895327
L01,48.6081816389877
L01,48.77836101883175
L01,48.369167938810634
L01,48.36331267892574
L01,47.7866668098183
L01,48.52107991094501
L01,48.561180018918215
L01,48.29781874698287
L01,48.22478121486772
L01,49.830859702896475
L01,47.90155637565725
L01,48.91640054479992
L01,48.76004059481587
L01,49.355700010908016
L01,49.088989186769986
L01,48.33284320226585
L01,48.15945027668656
L01,48.63118711678871
L01,48.668206039769984
L01,48.55313683704392
L01,48.22709805923159
L01,48.476287720646106
L01,49.686578585983405
L01,48.77296173338623
L01,47.88018085212571
L01,48.3913067614836
L01,49.23420317557657
L01,48.97439498741602
L01,48.17875906716073
L01,47.69191429356246
L01,48.84679845587484
L01,48.60181173710077
L01,48.04334897592518
L01,49.11636636816085
L01,48.600825112274
L02,52.67150110244361
L02,52.60383710921108
L02,52.591680405558606
L02,52.797684386887745
L02,52.22861448149781
L02,52.751361498525114
L02,52.47289609211777
L02,52.785114869568304
L02,52.420502140230724
L02,51.86903546443177
L02,53.22244859849012
L02,52.60262071551577
L02,51.752502460360425
L02,52.321683878488635
L02,52.22136921300963
L02,52.31042849205669
